"","ICF_ID","Date","Start_Time","Station_Code","Habitat","Region","Latitude","Longitude","Start_Depth","Temperature","Conductivity","Turbidity","pH","Salinity","DO","Chl_a","Secchi","X2","NO3","NH4","PO4","DOC","End_Depth","End_Time","Microcystis_2017","Microcystis","Warp_Length","Warp_Angle","Tow_Time","Macrozooplankton_Volume","Mesozooplankton_Volume","Alienacanthomysis_macropsis","Americorophium_spinicorne","Americorophium_spp","Americorophium_stimpsoni","Ampelisca_abdita","Amphipod_UNID","Ampithoe_spp","Ampithoe_valida","Corophiidae_UNID","Crangonyx_spp","Cumacean_UNID","Deltamysis_holmquistae","Eogammarus_spp","Exopalaemon_spp","Gammarus_daiberi","Grandidierella_japonica","Hyalella_spp","Hyperacanthomysis_longirostris","Isopoda_UNID","Monocorophium_acherusicum","Mysid_UNID","Neomysis_kadiakensis","Neomysis_mercedes","Oedicerotidae_UNID","Orientomysis_aspera","Orientomysis_hwanhaiensis","Pleustidae_UNID","Shrimp_UNID_larvae","Sinocorophium_alienense","Tanaidacea_UNID"
"525","ICF559",2018-11-07,12:09:00,"19-15-GBB-01","Channel Deep","Suisun Bay",38.037506,-121.883625,25.5,16.9,24730,11.2,7.9,15.09,7.75,1.9,NA,NA,NA,NA,NA,NA,26.8,12:14:00,NA,NA,NA,NA,0,58.754,9.862,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.017020164,0,0.034040328,0.289342785,0,0,0.051060492,0,0,0.017020164,0,0,0,0.017020164,0
"526","ICF548",2018-11-07,08:34:00,"19-15-LSC-01","Channel Surface","Sacramento Deep Water Ship Channel",38.440623,-121.598868,35.6,16.5,638,14.85,7.8,0.31,8.99,2.84,43,NA,0.163591736,0.014465667,0.119222002,3.929681205,35.2,08:39:00,NA,NA,NA,NA,0,60.363,8.636,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.016566392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"527","ICF550",2018-11-07,09:02:00,"19-15-LSC-01","Channel Deep","Sacramento Deep Water Ship Channel",38.438523,-121.599944,35.2,16.5,642,15.55,7.6,0.31,8.95,2.72,NA,NA,NA,NA,NA,NA,31.6,09:07:00,NA,NA,NA,NA,0,59.366,9.8,0,0.016844683,0,0,0,0,0,0,0,0,0,0,NA,0.235825557,0.421117066,0,0.016844683,42.31384279,0,0,0,0,0,0,0,0,0,0,0,0
"528","ICF552",2018-11-07,09:51:00,"19-15-SMM-01","Channel Surface","Suisun Marsh",38.176605,-122.010821,21.5,16.8,10099,9.01,7.5,5.71,7.76,2.97,43,NA,0.3612106,0.24207767,0.050142795,7.61314187,21.5,09:56:00,NA,NA,NA,NA,0,70.932,10.131,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"529","ICF554",2018-11-07,10:17:00,"19-15-SMM-01","Channel Deep","Suisun Marsh",38.17584,-122.013943,22.5,16.9,10086,21.7,7.6,5.72,7.64,2.9,NA,NA,NA,NA,NA,NA,25.7,10:22:00,NA,NA,NA,NA,0,66.742,10.354,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.224744475,0,0,87.50051565,1.558228361,0,0,7.671278084,0,0,0,0,0.014982965,0,0,0
"530","ICF547",2018-11-07,08:31:00,"19-15-SMM-03","Channel Surface","Suisun Marsh",38.134198,-121.914377,12.9,16.7,9787,8.1,7.9,5.54,8.3,3.5,58,NA,0.4049227,0.27063764,0.044064063,8.530803101,20.2,08:36:00,NA,NA,NA,NA,0,54.928,7.613,0,0.018205526,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0.018205526,0,0,0,0,0,0,0,0
"531","ICF549",2018-11-07,08:56:00,"19-15-SMM-03","Channel Deep","Suisun Marsh",38.134287,-121.91459,21.8,16.6,7279,131.9,7.5,4.03,8.38,2.89,NA,NA,NA,NA,NA,NA,22.2,09:01:00,NA,NA,NA,NA,0,62.342,9.355,0,0,0,0,0,0,0,0,0,0,0.721826373,0,NA,0,0.016040586,0,0,0.032081172,0,0,0,0,0,0,0,0,0,0,0.032081172,0
"532","ICF555",2018-11-07,11:23:00,"19-15-USC-01","Channel Surface","Sacramento Deep Water Ship Channel",38.560823,-121.559712,37.9,17.7,1021,1.12,7.8,0.51,8.78,4.2,233,NA,0.016538455,0.00679534,0.119222002,4.09033666,36.7,11:28:00,NA,NA,NA,NA,0,59.139,8.502,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.050727924,0,0,0,0,0,0,0,0,0
"533","ICF557",2018-11-07,11:40:00,"19-15-USC-01","Channel Deep","Sacramento Deep Water Ship Channel",38.561161,-121.553101,37.4,17.4,1023,1.84,7.8,0.51,8.21,5.6,NA,NA,NA,NA,NA,NA,39,11:45:00,NA,NA,NA,NA,0,53.826,9.312,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"534","ICF551",2018-11-07,09:48:00,"19-15-USC-02","Channel Surface","Sacramento Deep Water Ship Channel",38.493901,-121.584744,35.5,16.9,861,6.34,7.6,0.43,9.11,2.83,77,NA,0.039142534,0.03245344,0.158149715,4.304642052,37.3,09:53:00,NA,NA,NA,NA,0,64.22,9.174,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.295856623,0,0,0.062285605,0,0,0,0,0,0,0,0,0
"535","ICF553",2018-11-07,10:09:00,"19-15-USC-02","Channel Deep","Sacramento Deep Water Ship Channel",38.496354,-121.584604,38.8,16.9,875,10.83,7.7,0.43,8.97,2.84,NA,NA,NA,NA,NA,NA,37.4,10:14:00,NA,NA,NA,NA,0,62.284,9.171,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1.252331659,0,0,0.048166602,0,0,0,0,0,0,0,0,0
"536","ICF560",2018-11-14,07:56:00,"19-16-LSC-01","Channel Surface","Sacramento Deep Water Ship Channel",38.180331,-121.663321,32.4,12.7,176,1.57,7.2,0.08,8.89,0.85,300,NA,0.470461383,0.732995276,0.096415835,2.734356122,38.8,08:01:00,NA,NA,NA,NA,0,61.345,8.576,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.032602705,0,0,0.032602705,0,0,0,0,0,0,0,0,0,0,0,0
"537","ICF561",2018-11-14,08:14:00,"19-16-LSC-01","Channel Deep","Sacramento Deep Water Ship Channel",38.182432,-121.661461,43.4,12.9,177,1.69,7.4,0.08,8.93,1.01,NA,NA,NA,NA,NA,NA,40.8,08:19:00,NA,NA,NA,NA,0,54.327,9.133,0,0,0,0,0,0,0,0,0,0.055221307,0.018407102,0,NA,0,0.699469884,0,0.018407102,0,0,0,0,0,0,0,0,0,0,0,0.018407102,0
"538","ICF564",2018-11-14,09:09:00,"19-16-LSC-02","Channel Surface","Sacramento Deep Water Ship Channel",38.239403,-121.671611,38.9,12.6,180,1.8,7.5,0.09,9.07,0.92,270,NA,0.447199795,0.627480416,0.096415835,2.45988627,40.2,09:14:00,NA,NA,NA,NA,0,59.176,8.908,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0.084493769,0,0,0,0,0,0,0,0,0,0,0,0,0
"539","ICF565",2018-11-14,09:31:00,"19-16-LSC-02","Channel Deep","Sacramento Deep Water Ship Channel",38.238261,-121.672723,39.2,12.7,178,1.76,7.4,0.08,8.95,0.92,NA,NA,NA,NA,NA,NA,37.8,09:36:00,NA,NA,NA,NA,0,63.371,8.849,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.225000245,0,0.015780144,0,0,0,0,0,0,0,0,0,0,0,0.094680861,0
"540","ICF569",2018-11-14,10:35:00,"19-16-LSC-03","Channel Surface","Sacramento Deep Water Ship Channel",38.354497,-121.638502,36.4,13.9,321,7.31,7.5,0.15,9.44,1.76,80,NA,0.317339637,0.061312432,0.111897522,2.53789479,36.6,10:40:00,NA,NA,NA,NA,0,58.105,8.621,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"541","ICF571",2018-11-14,10:48:00,"19-16-LSC-03","Channel Deep","Sacramento Deep Water Ship Channel",38.354761,-121.638869,38.2,13.9,329,8.08,7.6,0.16,9.42,1.75,NA,NA,NA,NA,NA,NA,38.6,10:53:00,NA,NA,NA,NA,0,60.221,9.219,0,0.016605583,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,3.221483198,0,0,0,0,0,0,0,0,0,0,0,0
"542","ICF572",2018-11-14,11:19:00,"19-16-SBM-01","Channel Surface","Suisun Bay",38.083708,-121.999344,76.1,14,20915,0.09,7.9,12.58,8.52,3.35,87,NA,0.326614867,0.076583541,0.03793515,2.051339178,45.2,11:25:00,NA,NA,NA,NA,0,49.393,7.467,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"543","ICF573",2018-11-14,11:38:00,"19-16-SBM-01","Channel Deep","Suisun Bay",38.085811,-122.001189,68.2,14.3,23685,3.35,7.9,14.38,8.13,2.82,NA,NA,NA,NA,NA,NA,65.8,11:43:00,NA,NA,NA,NA,0,41.927,6.648,0,0,0,0,0,0,0,0.023850934,0,0,0,0,NA,0,0,0,0,0,0,0,0,0.858633637,0,0,0,0,0,0,0,0
"544","ICF574",2018-11-14,12:13:00,"19-16-SBM-01","Shoal","Suisun Bay",38.078587,-121.992447,10.5,14.3,20891,0,7.9,12.31,8.85,3.22,87,NA,NA,NA,NA,NA,15.9,12:19:00,NA,NA,NA,NA,0,60.057,8.323,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"545","ICF567",2018-11-14,10:02:00,"19-16-SBM-02","Channel Surface","Suisun Bay",38.097337,-122.034186,19.8,14.3,24465,0.59,7.9,14.9,8.33,2.76,81,NA,0.326614867,0.092623519,0.042840193,2.071180072,21.3,10:07:00,NA,NA,NA,NA,0,52.955,8.655,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"546","ICF568",2018-11-14,10:20:00,"19-16-SBM-02","Channel Deep","Suisun Bay",38.097624,-122.038275,21.5,14.4,24754,4.43,7.9,15.1,8.18,2.03,NA,NA,NA,NA,NA,NA,19.8,10:25:00,NA,NA,NA,NA,0,76.467,12.248,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"547","ICF570",2018-11-14,10:45:00,"19-16-SBM-02","Shoal","Suisun Marsh",38.106008,-122.023394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,54.696,7.814,0,0.127979613,0,0,0,0,0,0.054848406,0,0,0,0,NA,0,0,0,0.018282802,0,0,0,0,0,0,0,0,0,0,0,0.018282802,0
"548","ICF562",2018-11-14,08:44:00,"19-16-SBW-01","Channel Surface","Suisun Bay",38.078779,-122.08609,37.9,14.3,28251,0,7.8,17.47,8.06,2.7,95,NA,0.313418155,0.051441856,0.023341057,2.601364966,37.7,08:49:00,NA,NA,NA,NA,0,60.368,9.056,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"549","ICF563",2018-11-14,09:00:00,"19-16-SBW-01","Channel Deep","Suisun Bay",38.077883,-122.085849,37.3,14.7,30591,10,7.9,19.03,7.69,2.37,NA,NA,NA,NA,NA,NA,38.1,09:05:00,NA,NA,NA,NA,0,59.551,9.694,0,0,0,0,0,0,0,0.016792444,0,0,0,0,NA,0,0,0,0,0.050377332,0,0,0,0.033584888,0,0,0,0,0,0,0,0
"550","ICF566",2018-11-14,09:37:00,"19-16-SBW-01","Shoal","Suisun Bay",38.074894,-122.079764,13.8,14.6,27884,0,7.9,17.23,8.25,2.93,102,NA,NA,NA,NA,NA,9.1,09:43:00,NA,NA,NA,NA,0,51.784,8.138,0,0,0,0,0,0,0,0.01931114,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"551","ICF575",2018-11-15,08:07:00,"19-16-GBB-01","Shoal","Suisun Marsh",38.108227,-122.040604,9.5,13.9,22432,3.88,7.9,13.57,8.41,3.09,78,NA,0.327494917,0.18080597,0.060997938,2.839561829,10.4,08:12:00,NA,NA,NA,NA,0,75.005,11.532,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.013332362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"552","ICF577",2018-11-15,08:32:00,"19-16-GBB-01","Channel Surface","Suisun Marsh",38.107543,-122.048582,22.5,13.6,23890,0,7.9,14.52,8.77,4.3,98,NA,NA,NA,NA,NA,22.5,08:37:00,NA,NA,NA,NA,0,61.36,8.827,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"553","ICF578",2018-11-15,08:45:00,"19-16-GBB-01","Channel Deep","Suisun Bay",38.101397,-122.047691,21.4,14.3,25649,22.17,7.9,15.7,8.11,4.77,NA,NA,NA,NA,NA,NA,21.5,08:50:00,NA,NA,NA,NA,0,61.593,9.786,0,0,0,0,0,0,0,0,0,0,0.016235717,0,NA,0,0,0,0,0.016235717,0,0,0,0.081178585,0,0,0,0,0,0,0.081178585,0
"554","ICF576",2018-11-15,08:22:00,"19-16-RVV-01","Channel Surface","Lower Sacramento",38.177888,-121.66632,51.3,12.4,178,1.29,7.5,0.08,8.96,0.94,325,NA,0.484147991,0.707861024,0.094706854,2.935043437,53.5,08:27:00,NA,NA,NA,NA,0,59.266,8.408,0,0.016873177,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"555","ICF579",2018-11-15,08:46:00,"19-16-RVV-01","Channel Deep","Lower Sacramento",38.1779,-121.665912,54.6,12.3,176,1.72,7.4,0.08,8.87,0.77,NA,NA,NA,NA,NA,NA,55.8,08:51:00,NA,NA,NA,NA,0,52.855,8.331,0,0,0,0.037839578,0,0,0,0,0,0,0,0,NA,0,1.210866483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"556","ICF582",2018-11-15,09:56:00,"19-16-RVV-02","Channel Surface","Lower Sacramento",38.084486,-121.711477,46,13.7,2613,5.56,7.3,1.34,8.92,1.74,105,NA,0.471829933,0.246166604,0.094706854,2.281351972,59.2,10:01:00,NA,NA,NA,NA,0,63.503,9.097,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.015747364,0,0,0,0.015747364,0,0,0,0,0,0,0,0,0,0,0
"557","ICF584",2018-11-15,10:17:00,"19-16-RVV-02","Channel Deep","Lower Sacramento",38.083337,-121.713911,64.3,14.1,4594,10,7.3,2.47,8.8,1.79,NA,NA,NA,NA,NA,NA,52,10:22:00,NA,NA,NA,NA,0,64.864,9.747,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1.402934737,0,0,0,0.046250596,0,0,0,0,0,0,0,0
"558","ICF586",2018-11-15,11:10:00,"19-16-RVV-03","Channel Surface","Lower Sacramento",38.108261,-121.714652,34,13.7,2978,6.14,7.5,1.74,9.04,1.93,100,NA,0.467724356,0.209572256,0.076056001,2.320700451,34.7,11:15:00,NA,NA,NA,NA,0,66.31,9.228,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.015080729,0,0,0,0,0,0,0,0,0,0,0,0
"559","ICF580",2018-11-15,09:15:00,"19-16-SMM-01","Shoal","Suisun Marsh",38.128174,-122.056813,9.5,13.3,19586,0,8,11.69,8.68,3.23,126,NA,0.33717768,0.060876837,0.047765409,2.125896365,8.6,09:20:00,NA,NA,NA,NA,0,60.564,8.449,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"560","ICF581",2018-11-15,09:35:00,"19-16-SMM-01","Channel Surface","Suisun Marsh",38.127004,-122.058592,18.1,13.2,18728,0,7.9,11.14,8.92,3.63,151,NA,NA,NA,NA,NA,21.4,09:40:00,NA,NA,NA,NA,0,59.732,7.622,0,0,0,0,0,0,0,0,0,0,0.016741585,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"561","ICF583",2018-11-15,10:13:00,"19-16-SMM-01","Channel Deep","Suisun Marsh",38.131603,-122.060198,25.3,13.9,22928,0,7.9,13.88,8.4,2.2,NA,NA,NA,NA,NA,NA,30.6,10:19:00,NA,NA,NA,NA,0,64.305,10.423,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.015550958,0,0,0,0,0,0,0,0,0,0,0,0
"562","ICF585",2018-11-15,10:51:00,"19-16-SMM-02","Channel Surface","Suisun Marsh",38.15882,-122.049915,24.6,12.6,15117,0,7.8,8.81,8.37,4.63,99,NA,0.335416875,0.077907477,0.056018929,2.230081312,25.2,10:56:00,NA,NA,NA,NA,0,59.732,7.567,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"563","ICF587",2018-11-15,11:10:00,"19-16-SMM-02","Channel Deep","Suisun Marsh",38.157821,-122.050609,23.2,13.4,18342,4.08,7.9,10.9,8.61,2.62,NA,NA,NA,NA,NA,NA,24.6,11:15:00,NA,NA,NA,NA,0,55.493,9.094,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.054060908,0,0,0,0,0,0,0,0,0,0,0,0
"564","ICF588",2018-11-15,11:31:00,"19-16-SMM-02","Shoal","Suisun Marsh",38.157246,-122.048741,14.6,13,15650,0.41,7.8,9.18,8.45,3.5,98,NA,NA,NA,NA,NA,14.1,11:37:00,NA,NA,NA,NA,0,57.514,8.719,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.017387112,0,0,0,0.017387112,0,0,0,0,0,0,0,0
"565","ICF589",2018-11-19,08:14:00,"19-17-CSS-01","Channel Surface","Cache Slough and Liberty Island",38.323577,-121.653174,14.3,9.9,216,2.55,7.5,0.1,11.1,1.3,150,NA,0.159074168,0.081441356,0.039567923,9.369584642,15.2,08:19:00,NA,NA,NA,NA,0,63.139,6.9,0,0.015838169,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"566","ICF593",2018-11-19,09:31:00,"19-17-CSS-03","Channel Surface","Cache Slough and Liberty Island",38.262024,-121.696433,11.4,10.9,201,1.24,7.5,0.1,10.27,1.3,300,NA,0.504682515,0.2252171,0.092147866,5.538187664,11.9,09:36:00,NA,NA,NA,NA,0,61.271,7.74,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0.016321006,0,0,0,0,0,0,0,0,0,0,0,0,0
"567","ICF595",2018-11-19,09:53:00,"19-17-CSS-03","Shoal","Cache Slough and Liberty Island",38.258242,-121.694097,6,11,205,3.71,7.6,0.1,10.56,2.66,NA,NA,NA,NA,NA,NA,8.9,09:58:00,NA,NA,NA,NA,0,59.25,5.089,0,0,0,0,0,0,0,0,0,1.147682577,0,0,NA,0,6.886095463,0,25.11399522,0,0,0,0,0,0,0,0,0,0,0,0,0
"568","ICF599",2018-11-19,11:15:00,"19-17-CSS-04","Channel Surface","Cache Slough and Liberty Island",38.253766,-121.68758,24.2,11.2,186,2.19,7.6,0.09,9.56,0.81,256,NA,0.511528587,0.463136544,0.08280675,4.460751143,27.4,11:20:00,NA,NA,NA,NA,0,49.599,5.93,0,0.020161652,0,0,0,0,0,0,0,0.040323303,0,0,NA,0,0.060484955,0,0.947597622,0,0,0,0,0,0,0,0,0,0,0,0,0
"569","ICF601",2018-11-19,11:37:00,"19-17-CSS-04","Channel Deep","Cache Slough and Liberty Island",38.25444,-121.688623,28.5,11.2,184,2.15,7.5,0.09,9.52,0.92,NA,NA,NA,NA,NA,NA,28.5,11:43:00,NA,NA,NA,NA,0,52.285,4.241,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.133881993,0,0.516401974,0,0,0,0,0,0,0,0,0,0,0,0,0
"570","ICF590",2018-11-19,08:23:00,"19-17-GBB-01","Shoal","Suisun Marsh",38.11355,-122.038258,7.5,13,23694,0,7.9,14.39,8.45,3.69,119,NA,0.33277592,0.200424109,0.059336027,2.782733859,8.1,08:29:00,NA,NA,NA,NA,0,55.076,8.001,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018156689,0
"571","ICF591",2018-11-19,08:51:00,"19-17-GBB-01","Channel Surface","Suisun Bay",38.100244,-122.044905,23.4,12.6,22715,0,8,13.73,8.64,6.35,114,NA,NA,NA,NA,NA,22.6,08:56:00,NA,NA,NA,NA,0,58.627,8.191,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"572","ICF592",2018-11-19,09:06:00,"19-17-GBB-01","Channel Deep","Suisun Bay",38.101158,-122.042851,22.8,13.1,25558,5.2,7.9,15.62,8.31,3.88,NA,NA,NA,NA,NA,NA,22.7,09:11:00,NA,NA,NA,NA,0,61.07,9.926,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.016374592,0,0,0,0.229244284,0,0,0,0,0,0,0,0,0,0,0
"573","ICF594",2018-11-19,09:40:00,"19-17-GBB-02","Shoal","Suisun Marsh",38.106155,-122.048208,9.9,12.9,24029,0,0.8,14.61,8.6,4.87,113,NA,0.31253866,0.079233727,0.076898164,1.767829052,10.3,09:45:00,NA,NA,NA,NA,0,53.14,8.413,0,0,0,0,0,0,0,0,0,0,0.018818342,0,NA,0,0,0,0,0.018818342,0,0,0,0,0,0,0,0,0,0,0,0
"574","ICF596",2018-11-19,10:03:00,"19-17-GBB-02","Channel Surface","Suisun Bay",38.099636,-122.054663,24.6,12.9,24237,0,8,14.74,8.64,6.25,112,NA,NA,NA,NA,NA,23.1,10:08:00,NA,NA,NA,NA,0,53.483,7.932,0,0,0,0,0,0,0,0,0,0,0.018697664,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"575","ICF597",2018-11-19,10:17:00,"19-17-GBB-02","Channel Deep","Suisun Bay",38.099899,-122.055375,24.2,13.4,28355,24,7.9,17.5,8.11,5.71,NA,NA,NA,NA,NA,NA,23.7,10:22:00,NA,NA,NA,NA,0,63.334,8.984,0.015789346,0,0,0,0.063157385,0,0,0,0,0,0.205261503,0,NA,0,0.015789346,0.031578693,0,0.110525425,1.168411631,0,0,0.34736562,0,0,0,0,0,0,0.063157385,0
"576","ICF598",2018-11-19,11:05:00,"19-17-SMM-01","Channel Surface","Suisun Marsh",38.179356,-122.003945,26.6,12.5,12921,1.28,7.8,7.46,8.63,6.11,68,NA,0.344222243,0.07526192,0.062662091,2.781833577,22.3,11:10:00,NA,NA,NA,NA,0,59.777,9.174,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"577","ICF600",2018-11-19,11:27:00,"19-17-SMM-01","Channel Deep","Suisun Marsh",38.178588,-122.007536,25.1,12.5,17763,3.53,7.8,10.38,8.27,3.99,NA,NA,NA,NA,NA,NA,28,11:32:00,NA,NA,NA,NA,0,65.772,11.224,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.015204134,0,0,0,0.015204134,0,0,0,0,0,0,0,0
"578","ICF602",2018-11-19,11:45:00,"19-17-SMM-01","Shoal","Suisun Marsh",38.178653,-122.003714,6.2,12.7,12764,2.49,7.8,7.34,8.69,5.3,66,NA,NA,NA,NA,NA,5.1,11:51:00,NA,NA,NA,NA,0,57.588,8.467,0,0,0,0,0,0,0,0,0,0,4.653768787,0,NA,0,0.034729618,0,0,0,0.052094427,0,0,0,0,0,0,0,0,0,0.034729618,0
"579","ICF603",2018-11-20,07:34:00,"19-17-RVV-01","Channel Surface","Lower Sacramento",38.159444,-121.682181,22.9,10.9,180,1.6,7.4,0.09,9.4,0.79,310,NA,0.486885608,0.704004896,0.098127057,3.134586778,25.8,07:39:00,NA,NA,NA,NA,0,59.107,6.646,0,0,0,0,0,0,0,0,0,0.016918365,0,0,NA,0,0,0,0.03383673,0,0,0,0,0,0,0,0,0,0,0,0,0
"580","ICF604",2018-11-20,08:16:00,"19-17-RVV-01","Channel Deep","Lower Sacramento",38.159785,-121.681302,27.1,10.8,180,1.5,7.3,0.09,9.43,0.74,NA,NA,NA,NA,NA,NA,25.3,08:21:00,NA,NA,NA,NA,0,51.356,4.495,0,0,0,0,0,0,0,0,0,0.019471851,0,0,NA,0,0.077887403,0,0.038943702,0,0,0,0,0,0,0,0,0,0,0,0,0
"581","ICF605",2018-11-20,09:29:00,"19-17-RVV-02","Channel Surface","Lower Sacramento",38.084728,-121.71139,24.7,12.6,3376,3.54,7,1.78,9.12,1.57,148,NA,0.492361136,0.329206016,0.08280675,2.477571343,26.9,09:34:00,NA,NA,NA,NA,0,54.633,7.015,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"582","ICF606",2018-11-20,09:44:00,"19-17-RVV-02","Channel Deep","Lower Sacramento",38.084418,-121.710488,32.2,12.6,3835,4.78,7.2,2.04,8.97,1.4,NA,NA,NA,NA,NA,NA,30.6,09:49:00,NA,NA,NA,NA,0,58.363,3.636,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.017134032,0,0,0.068536127,0,0,0,0,0,0,0,0,0,0,0.017134032,0
"583","ICF607",2018-11-20,09:57:00,"19-17-RVV-02","Shoal","Lower Sacramento",38.084743,-121.713691,7.8,12.6,3578,5.66,7.4,1.9,9.21,1.53,97,NA,NA,NA,NA,NA,6.8,10:02:00,NA,NA,NA,NA,0,46.307,4.271,0,0.691046579,0,0,0,0,0,0,0,0,0,0,NA,0,6.025062364,0,0.280737673,0,0.064785617,0,0,0,0,0,0,0,0,0,0,0
"584","ICF608",2018-11-20,10:48:00,"19-17-RVV-03","Channel Surface","Lower Sacramento",38.093795,-121.732584,29.4,12.6,2799,4.3,7.5,1.5,9.21,1.48,115,NA,0.500575168,0.345286604,0.069341115,4.183325722,29,10:53:00,NA,NA,NA,NA,0,60.717,3.222,0,0.016469933,0,0,0,0,0,0,0,0.016469933,0,0,NA,0,0.197639202,0,0.016469933,0,0,0,0,0,0,0,0,0,0,0,0,0
"585","ICF609",2018-11-20,11:07:00,"19-17-RVV-03","Channel Deep","Lower Sacramento",38.097361,-121.728096,30.4,12.8,4503,6.21,7.4,2.43,9.01,1.76,NA,NA,NA,NA,NA,NA,30.3,11:12:00,NA,NA,NA,NA,0,47.789,8.413,0,0.585905563,0,0,0,0,0,0,0.020925199,0,0.31387798,0,NA,0,23.77102569,0,0.041850397,2.636575033,0.041850397,0,0,0.502204768,0,0,0,0,0,0,0,0
"586","ICF611",2018-11-21,08:52:00,"19-17-CFF-01","Channel Surface","Suisun Bay",38.061834,-121.85253,30.9,13.2,11218,0,7.9,6.41,8.67,2.23,132,NA,0.405070859,0.103501989,0.041202938,4.469204861,36.1,08:58:00,NA,NA,NA,NA,0,59.957,8.559,0,0,0,0,0,0,0,0,0,0,0.033357304,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"587","ICF613",2018-11-21,09:09:00,"19-17-CFF-01","Channel Deep","Suisun Bay",38.060402,-121.857691,45.7,13.2,13556,0,7.9,7.73,8.52,2.37,NA,NA,NA,NA,NA,NA,47.9,09:15:00,NA,NA,NA,NA,0,63.265,10.007,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0.015806466,0,0,0,0,0,0,0,0,0,0,0,0
