EMP_Micro,EMP_Meso,EMP_Macro,EMP_Lengths,STN_Meso,STN_Macro,FMWT_Meso,FMWT_Macro,twentymm_Meso,FRP_Meso,FRP_Macro,YBFMP_Macro,YBFMP_Meso,YBFMP_Micro,LI_Meso,LI_Micro,DOP_Meso,DOP_Macro,USGS_Meso,Lifestage,Taxname,Level,Phylum,Class,Order,Family,Genus,Species,Intro,EMPstart,EMPend,FMWTstart,FMWTend,twentymmstart,twentymmend,twentymmstart2,DOPstart,DOPend,FRPstart,FRPend,USGSstart,USGSend
,,,,,,,,,,,Geophilomorpha NotDetermined,,,,,,,,Adult,Geophilomorpha,Order,Arthropoda,Chilopoda,Geophilomorpha,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Glossiphoniidae NotDetermined,,,,,,,,Adult,Glossiphoniidae,Family,Annelida,Hirudinea,Rhynchobdellida,Glossiphoniidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Glossoscolecidae NotDetermined,,,,,,,,Adult,Glossoscolecidae,Family,Annelida,Oligochaeta,Crassiclitellata,Glossoscolecidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Glossosomatidae Larvae,,,,,,,,Larva,Glossosomatidae,Family,Arthropoda,Insecta,Trichoptera,Glossosomatidae,,,,,,,,,,,,,,,,
,,,,,,,,,,Goby unid,Gobiidae NotDetermined,,,,,,,,Larva,Gobiidae,Family,Chordata,Actinopterygii,Gobiformes,Gobiidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Gomphidae larvae,Gomphidae Larvae,,,,,,,,Larva,Gomphidae,Family,Arthropoda,Insecta,Odonata,Gomphidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Gomphidae NotDetermined,,,,,,,,Larva,Gomphidae,Family,Arthropoda,Insecta,Odonata,Gomphidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Gyrinidae larvae,Gyrinidae Larvae,,,,,,,,Larva,Gyrinidae,Family,Arthropoda,Insecta,Coleoptera,Gyrinidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Haliplidae adult,Haliplidae Adults,,,,,,,,Adult,Haliplidae,Family,Arthropoda,Insecta,Coleoptera,Haliplidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Haliplidae NotDetermined,,,,,,,,Adult,Haliplidae,Family,Arthropoda,Insecta,Coleoptera,Haliplidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Helophoridae Adults,,,,,,,,Adult,Helophoridae,Family,Arthropoda,Insecta,Coleoptera,Helophoridae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Helophoridae NotDetermined,,,,,,,,Adult,Helophoridae,Family,Arthropoda,Insecta,Coleoptera,Helophoridae,,,,,,,,,,,,,,,,
,,,,,,,,,Hemiptera Other,Hemiptera Other,Hemiptera Adults,,,,Hemiptera NA NA,,,,Adult,Hemiptera,Order,Arthropoda,Insecta,Hemiptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Hemiptera Larvae,,,,,,,,Larva,Hemiptera,Order,Arthropoda,Insecta,Hemiptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Hemiptera NotDetermined,,,,,,,,Undifferentiated,Hemiptera,Order,Arthropoda,Insecta,Hemiptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Heptageniidae nymph,Heptageniidae Larvae,,,,,,,,Larva,Heptageniidae,Family,Arthropoda,Insecta,Ephemoroptera,Heptageniidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Heptageniidae NotDetermined,,,,,,,,Larva,Heptageniidae,Family,Arthropoda,Insecta,Ephemoroptera,Heptageniidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Heterobranchia NotDetermined,,,,,,,,Adult,Gastropoda,Class,Mollusca,Gastropoda,,,,,,,,,,,,,,,,,,
,,,,,,,,,Leech,Leech,Hirudinida NotDetermined,,,,Hirudinea NA NA,,,,Undifferentiated,Hirudinea,Class,Annelida,Hirudinea,,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Hyalellidae Larvae,,,,,,,,Larva,Hyalella,Genus,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,,,2014,,2013,,,,,2017,,2016,,2017,
,,Hyalella_sp,Hyalella sp,,Hyalella sp_,,Hyalella_sp,,Hyalella,Hyalella,Hyalellidae NotDetermined,,,,Hyalella NA NA,,Hyalella_spp,Hyalella sp. N,Adult,Hyalella,Genus,Arthropoda,Malacostraca,Amphipoda,Hyalellidae,Hyalella,,,2014,,2013,,,,,2017,,2016,,2017,
,,,,,,,,,,,Hydrachnidia,,,,,,,,Adult,Hydrachnidia,Order,Arthropoda,Arachnida,Hydrachnidia,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hydraenidae adult,Hydraenidae Adults,,,,,,,,Adult,Hydraenidae,Family,Arthropoda,Insecta,Coleoptera,Hydraenidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Hydraenidae NotDetermined,,,,,,,,Adult,Hydraenidae,Family,Arthropoda,Insecta,Coleoptera,Hydraenidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hydridae Larvae,,,,,,,,Larva,Hydridae,Family,Cnidaria,Hydrozoa,Anthoathecatae,Hydridae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hydridae NotDetermined,,,,,,,,Undifferentiated,Hydridae,Family,Cnidaria,Hydrozoa,Anthoathecatae,Hydridae,,,,,,,,,,,,,,,,
,,,,,,,,,Hydrobiidae,Hydrobiidae,Hydrobiidae NotDetermined,,,,Hydrobiidae NA NA,,,,Adult,Hydrobiidae,Family,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,Hydrophilidae adult Beetle,Hydrophilidae adult Beetle,Hydrophilidae Adults,,,,,,,,Adult,Hydrophilidae,Family,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,Hydrophilidae larvae Beetle,Hydrophilidae larvae Beetle,Hydrophilidae Larvae,,,,,,,,Larva,Hydrophilidae,Family,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Hydrophilidae NotDetermined,,,,,,,,Undifferentiated,Hydrophilidae,Family,Arthropoda,Insecta,Coleoptera,Hydrophilidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Hydropsychidae Adults,,,,,,,,Adult,Hydropsychidae,Family,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hydropsychidae Larvae,,,,,,,,Larva,Hydropsychidae,Family,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hydropsychidae NotDetermined,,,,,,,,Undifferentiated,Hydropsychidae,Family,Arthropoda,Insecta,Trichoptera,Hydropsychidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hydroptilidae Adults,,,,,,,,Adult,Hydroptilidae,Family,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,Hydroptilidae larvae Caddisfly,Hydroptilidae larvae Caddisfly,Hydroptilidae Larvae,,,,Hydroptilidae NA NA,,,,Larva,Hydroptilidae,Family,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Hydroptilidae NotDetermined,,,,,,,,Undifferentiated,Hydroptilidae,Family,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Hydroptilidae pupae Caddisfly,Hydroptilidae Pupae,,,,,,,,Pupa,Hydroptilidae,Family,Arthropoda,Insecta,Trichoptera,Hydroptilidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Hygrobatidae NotDetermined,,,,,,,,Adult,Hygrobatidae,Family,Arthropoda,Arachnida,Trombidiformes,Hygrobatidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hygrophila NotDetermined,,,,,,,,Adult,Hygrophila,Order,Mollusca,Gastropoda,Hygrophila,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hymenoptera Adults,,,,,,,,Adult,Hymenoptera,Order,Arthropoda,Insecta,Hymenoptera,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hymenoptera Larvae,,,,,,,,Larva,Hymenoptera,Order,Arthropoda,Insecta,Hymenoptera,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hymenoptera NotDetermined,,,,,,,,Undifferentiated,Hymenoptera,Order,Arthropoda,Insecta,Hymenoptera,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Hymenoptera Pupae,,,,,,,,Pupa,Hymenoptera,Order,Arthropoda,Insecta,Hymenoptera,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ictaluridae NotDetermined,,,,,,,,Juvenile,Ictaluridae,Family,Chordata,Actinopterygii,Ictaluridae,,,,,,,,,,,,,,,,,
,,,,,,,,Other Insect larvae,Insect larvae UNID,Insect larvae UNID,Insecta Larvae,Insecta larva,Insecta larva,,,,,,Larva,Insecta,Class,Arthropoda,Insecta,,,,,,,,,,1995,1999,,,,2016,,,
,,,,,,,,,,,Isopoda NotDetermined,Isopoda undifferentiated,Isopoda undifferentiated,,,,Isopoda_UNID,,Undifferentiated,Isopoda,Order,Arthropoda,Malacostraca,Isopoda,,,,,,,,,,,,2018,,,,,
,,,,,,,,,,Termite,Isoptera Adults,,,,,,,,Adult,Isoptera,Order,Arthropoda,Insecta,Isoptera,,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Isoptera Larvae,,,,,,,,Larva,Isoptera,Order,Arthropoda,Insecta,Isoptera,,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Ixodida NotDetermined,,,,,,,,Adult,Ixodida,Order,Arthropoda,Arachnida,Ixodida,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Julida NotDetermined,,,,,,,,Adult,Julida,Order,Arthropoda,Diplopoda,Julida,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Lebertiidae Larvae,,,,,,,,Larva,Lebertiidae,Family,Arthropoda,Arachnida,Trombidiformes,Lebertiidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Lebertiidae NotDetermined,,,,,,,,Larva,Lebertiidae,Family,Arthropoda,Arachnida,Trombidiformes,Lebertiidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Lepidoptera Adults,,,,,,,,Adult,Lepidoptera,Order,Arthropoda,Insecta,Lepidoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,Lepidoptera larvae,Lepidoptera larvae,Lepidoptera Larvae,,,,,,,,Larva,Lepidoptera,Order,Arthropoda,Insecta,Lepidoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Lepidoptera NotDetermined,,,,,,,,Undifferentiated,Lepidoptera,Order,Arthropoda,Insecta,Lepidoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Lepidoptera Pupae,,,,,,,,Pupa,Lepidoptera,Order,Arthropoda,Insecta,Lepidoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Leptoceridae Adults,,,,,,,,Adult,Leptoceridae,Family,Arthropoda,Insecta,Trichoptera,Leptoceridae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Leptoceridae Larvae,,,,,,,,Larva,Leptoceridae,Family,Arthropoda,Insecta,Trichoptera,Leptoceridae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Leptoceridae NotDetermined,,,,,,,,Undifferentiated,Leptoceridae,Family,Arthropoda,Insecta,Trichoptera,Leptoceridae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Leptoceridae Pupae,,,,,,,,Pupa,Leptoceridae,Family,Arthropoda,Insecta,Trichoptera,Leptoceridae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Leptocheliidae NotDetermined,,,,,,,,Adult,Leptocheliidae,Family,Arthropoda,Malacostraca,Tanaidacea,Leptocheliidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Leptohyphidae Adults,,,,,,,,Adult,Leptohyphidae,Family,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Leptohyphidae Larvae,,,,,,,,Larva,Leptohyphidae,Family,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Leptohyphidae NotDetermined,,,,,,,,Undifferentiated,Leptohyphidae,Family,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,,,,,,,,,,,,,,,,
,,,,,,,,,,Libellulidae,Libellulidae NotDetermined,,,,,,,,Larva,Libellulidae,Family,Arthropoda,Insecta,Odonata,Libellulidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Limnesiidae NotDetermined,,,,,,,,Adult,Limnesiidae,Family,Arthropoda,Arachnida,Trombidiformes,Limnesiidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Lithobiomorpha NotDetermined,,,,,,,,Adult,Lithobiomorpha,Order,Arthropoda,Chilopoda,Lithobiomorpha,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Lumbricina NotDetermined,,,,,,,,Adult,Lumbricina,Order,Annelida,Oligochaeta,Lumbricina,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Lumbriculidae,,,,,,,,Adult,Lumbriculidae,Family,Annelida,Oligochaeta,Lumbriculida,Lumbriculidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Lygaeidae Adults,,,,,,,,Adult,Lygaeidae,Family,Arthropoda,Insecta,Hemiptera,Lygaeidae,,,,,,,,,,,,,,,,
,,,,,,,,,Lymnaeidae,Lymnaeidae,Lymnaeidae NotDetermined,,,,,,,Lymnaeidae N,Adult,Lymnaeidae,Family,Mollusca,Gastropoda,Basommatophora,Lymnaeidae,,,,,,,,,,,,,2016,,2017,
,,,,,,,,,,,Mantodea Adults,,,,,,,,Adult,Mantodea,Order,Arthropoda,Insecta,Mantodea,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Melyridae,,,,,,,,Adult,Melyridae,Family,Arthropoda,Insecta,Coleoptera,Melyridae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Mermithidae NotDetermined,,,,,,,,Adult,Mermithidae,Family,Nematoda,,Mermithida,Mermithidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Mesoveliidae Adults,,,,,,,,Adult,Mesoveliidae,Family,Arthropoda,Insecta,Hemiptera,Mesoveliidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Mesoveliidae,Mesoveliidae Larvae,,,,,,,,Larva,Mesoveliidae,Family,Arthropoda,Insecta,Hemiptera,Mesoveliidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Mideopsidae NotDetermined,,,,,,,,Adult,Mideopsidae,Family,Arthropoda,Arachnida,Trombidiformes,Mideopsidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Morone NotDetermined,,,,,,,,Juvenile,Morone saxitilis,Species,Chordata,Actinopterygii,Acanthuriformes,Moronidae,Morone,Morone saxitilis,,,,,,,,,,,,,,
,,,,,,,,,,,Murchisonellidae NotDetermined,,,,,,,,Adult,Murchisonellidae,Family,Mollusca,Gastropoda,Heterostropha,Murchisonellidae,,,,,,,,,,,,,,,,
,,,,,,,,,,Muscidae larvae,Muscidae NotDetermined,,,,,,,,Larva,Muscidae,Family,Arthropoda,Insecta,Diptera,Muscidae,,,,,,,,,,,,,2018,,,
,,Unidentified_mysid,Unidentified Mysid,,Unidentified Mysid,,Unidentified_Mysid,,Mysid UNID,Mysid UNID,Mysidae NotDetermined,,,,Mysidae NA NA,,Mysid_UNID,Mysidae N,Adult,Mysidae,Family,Arthropoda,Malacostraca,Mysida,Mysidae,,,,2007,,2007,,,,,2017,,2016,,2017,
,,,,,,,,,,,Naididae NotDetermined,,,,,,,,Adult,Naididae,Family,Annelida,Oligochaeta,Tubificida,Naididae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Naucoridae Larvae,,,,,,,,Adult,Naucoridae,Family,Arthropoda,Insecta,Hemiptera,Naucoridae,,,,,,,,,,,,,,,,
,,,,,,,,,Nematode,Nematode,Nematoda NotDetermined,,,,Nematoda NA NA,,,Nematoda N,Adult,Nematoda,Phylum,Nematoda,,,,,,,,,,,,,,,,2016,,2017,
,,,,,,,,,,,Nereididae NotDetermined,,,,,,,,Adult,Nereididae,Family,Annelida,Polychaeta,Aciculata,Nereididae,,,,,,,,,,,,,,,,
,,,,,,,,,,Neuroptera adult,Neuroptera Adults,,,,,,,,Adult,Neuroptera,Order,Arthropoda,Insecta,Neuroptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Neuroptera Larvae,,,,,,,,Larva,Neuroptera,Order,Arthropoda,Insecta,Neuroptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Neuroptera NotDetermined,,,,,,,,Undifferentiated,Neuroptera,Order,Arthropoda,Insecta,Neuroptera,,,,,,,,,,,,,,,,,
,,,,,,,,,,Notonectidae,Notonectidae Adults,,,,,,,,Adult,Notonectidae,Family,Arthropoda,Insecta,Hemiptera,Notonectidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Notonectidae Larvae,,,,,,,,Larva,Notonectidae,Family,Arthropoda,Insecta,Hemiptera,Notonectidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Notonectidae NotDetermined,,,,,,,,Undifferentiated,Notonectidae,Family,Arthropoda,Insecta,Hemiptera,Notonectidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,Oligochaete,Oligochaete,Oligochaeta NotDetermined,,,,,,,Oligochaeta N,Undifferentiated,Oligochaeta,Class,Annelida,Oligochaeta,,,,,,,,,,,,,,,2016,,2017,
,,,,,,,,,,,Opiliones NotDetermined,,,,,,,,Adult,Opiliones,Order,Arthropoda,Arachnida,Opiliones,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Oribatei NotDetermined,,,,,,,,Adult,Oribatei,Order,Arthropoda,Arachnida,Oribatei,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Orthoptera Larvae,,,,,,,,Adult,Orthoptera,Order,Arthropoda,Insecta,Orthoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Orthoptera,Orthoptera NotDetermined,,,,,,,,Adult,Orthoptera,Order,Arthropoda,Insecta,Orthoptera,,,,,,,,,,,,,,2016,,,
,,,,OSTRACOD,,OSTRACOD,,Ostracods,Ostracods,Ostracods,Ostracoda NotDetermined,Ostracoda undifferentiated,Ostracoda undifferentiated,,Ostracoda NA Adult,Ostracoda_UNID,,Ostracoda N,Adult,Ostracoda,Class,Arthropoda,Ostracoda,,,,,,,,2005,,1995,,,2017,,2016,,2017,
,,,,,,,,,,,Palaemonidae NotDetermined,,,,,,,,Adult,Palaemonidae,Family,Arthropoda,Malacostraca,Decapoda,Palaemonidae,,,,,,,,,,,,,,,,
,,,,,,,,,Bigscale Logperch,Bigscale Logperch,Percidae,,,,,,,,Juvenile,Percidae macrolepida,Species,Chordata,Actinopterygii,,Percidae,Percidae,Percidae macrolepida,,,,,,,,,,,2016,,,
,,,,,,,,,,,Perlodidae Larvae,,,,,,,,Adult,Perlodidae,Family,Arthropoda,Insecta,Plecoptera,Perlodidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Phlaeothripidae Adults,,,,,,,,Adult,Phlaeothripidae,Family,Arthropoda,Insecta,Thysanoptera,Phlaeothripidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Phoridae Adults,,,,,,,,Adult,Phoridae,Family,Arthropoda,Insecta,Diptera,Phoridae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Phoridae Larvae,,,,,,,,Larva,Phoridae,Family,Arthropoda,Insecta,Diptera,Phoridae,,,,,,,,,,,,,,,,
,,,,,,,,,Physa,Physa,Physidae NotDetermined,,,,Physidae NA NA,,,,Adult,Physa,Genus,Mollusca,Gastropoda,Hygrophila,Physidae,Physa,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Pionidae NotDetermined,,,,,,,,Adult,Pionidae,Family,Arthropoda,Arachnida,Trombidiformes,Pionidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Planariidae,,,,,,,,Adult,Planariidae,Family,Platyhelminthes,Turbellaria,Tricladida,Planariidae,,,,,,,,,,,,,,,,
,,,,,,,,,,Planorbidae UNID,Planorbidae NotDetermined,,,,Planorbidae NA NA,,,,Adult,Planorbidae,Family,Mollusca,Gastropoda,Hygrophila,Planorbidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Plecoptera,,,,,,,,Larva,Plecoptera,Order,Arthropoda,Insecta,Plecoptera,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Poduridae Adults,,,,,,,,Adult,Poduridae,Family,Arthropoda,Collembola,Poduromorpha,Poduridae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Protura Larvae,,,,,,,,Larva,Protura,Order,Arthropoda,Protura,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pseudironidae NotDetermined,,,,,,,,Larva,Pseudironidae,Family,Arthropoda,Insecta,Ephemeroptera,Pseudironidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pseudoscorpiones NotDetermined,,,,,,,,Adult,Pseudoscorpiones,Order,Arthropoda,Arachnida,Pseudoscorpiones,,,,,,,,,,,,,,,,,
,,,,,,,,,,Psocoptera adult,Psocoptera Adults,,,,,,,,Adult,Psocoptera,Order,Arthropoda,Insecta,Psocoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Psocoptera larvae,Psocoptera Larvae,,,,,,,,Larva,Psocoptera,Order,Arthropoda,Insecta,Psocoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Psocoptera NotDetermined,,,,,,,,Undifferentiated,Psocoptera,Order,Arthropoda,Insecta,Psocoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Psychodidae Adults,,,,,,,,Adult,Psychodidae,Family,Arthropoda,Insecta,Diptera,Psychodidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Psychodidae larvae,Psychodidae Larvae,,,,,,,,Larva,Psychodidae,Family,Arthropoda,Insecta,Diptera,Psychodidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Psychodidae NotDetermined,,,,,,,,Undifferentiated,Psychodidae,Family,Arthropoda,Insecta,Diptera,Psychodidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Psychodidae Pupae,,,,,,,,Pupa,Psychodidae,Family,Arthropoda,Insecta,Diptera,Psychodidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Psychomyiidae Adults,,,,,,,,Adult,Psychomyiidae,Family,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Psychomyiidae NotDetermined,,,,,,,,Adult,Psychomyiidae,Family,Arthropoda,Insecta,Trichoptera,Psychomyiidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pteromalidae Adults,,,,,,,,Adult,Pteromalidae,Family,Arthropoda,Insecta,Hymenoptera,Pteromalidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ptiliidae Adults,,,,,,,,Adult,Ptiliidae,Family,Arthropoda,Insecta,Coleoptera,Ptiliidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ptilodactylidae,,,,,,,,Adult,Ptilodactylidae,Family,Arthropoda,Insecta,Coleoptera,Ptilodactylidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pyralidae Larvae,,,,,,,,Adult,Pyralidae,Family,Arthropoda,Insecta,Lepidoptera,Pyralidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Reduviidae Adults,,,,,,,,Adult,Reduviidae,Family,Arthropoda,Insecta,Hemiptera,Reduviidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sabellidae NotDetermined,,,,,,,,Adult,Sabellidae,Family,Annelida,Polychaeta,Canalipalpata,Sabellidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Salticidae NotDetermined,,,,,,,,Undifferentiated,Salticidae,Family,Arthropoda,Arachnida,Araneae,Salticidae,,,,,,,,,,,,,,,,
,,,,,,,,,,Scirtidae adult,Sciaridae Adults,,,,,,,,Adult,Scirtidae,Family,Arthropoda,Insecta,Coleoptera,Scirtidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Sciomyzidae larvae,Sciomyzidae Larvae,,,,,,,,Larva,Sciomyzidae,Family,Arthropoda,Insecta,Diptera,Sciomyzidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Sciomyzidae NotDetermined,,,,,,,,Larva,Sciomyzidae,Family,Arthropoda,Insecta,Diptera,Sciomyzidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Sididae NotDetermined,,,,,,,,Adult,Sididae,Family,Arthropoda,Branchiopoda,Cladocera,Sididae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Simuliidae Adults,,,,,,,,Adult,Simuliidae,Family,Arthropoda,Insecta,Diptera,Simuliidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Simuliidae larvae,Simuliidae Larvae,,,,,,,,Larva,Simuliidae,Family,Arthropoda,Insecta,Diptera,Simuliidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Simuliidae NotDetermined,,,,,,,,Undifferentiated,Simuliidae,Family,Arthropoda,Insecta,Diptera,Simuliidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Simuliidae Pupae,,,,,,,,Pupa,Simuliidae,Family,Arthropoda,Insecta,Diptera,Simuliidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Sisyridae larvae,Sisyridae Larvae,,,,Sisyridae NA NA,,,,Larva,Sisyridae,Family,Arthropoda,Insecta,Neuroptera,Sisyridae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Sperchontidae NotDetermined,,,,,,,,Adult,Sperchontidae,Family,Arthropoda,Arachnida,Trombidiformes,Sperchontidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sphaeriidae NotDetermined,,,,,,,,Larva,Sphaeriidae,Family,Mollusca,Bivalvia,Veneroida,Sphaeriidae,,,,,,,,,,,,,,,,
,,,,,,,,,Staphylinidae adult,Staphylinidae adult,Staphylinidae Adults,,,,,,,,Adult,Staphylinidae,Family,Arthropoda,Insecta,Coleoptera,Staphylinidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Stratiomyidae,Stratiomyidae Larvae,,,,,,,,Undifferentiated,Stratiomyidae,Family,Arthropoda,Insecta,Diptera,Stratiomyidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Stratiomyidae NotDetermined,,,,,,,,Undifferentiated,Stratiomyidae,Family,Arthropoda,Insecta,Diptera,Stratiomyidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,Stylommatophora NotDetermined,,,,,,,,Adult,Stylommatophora,Order,Mollusca,Gastropoda,Stylommatophora,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Succineidae NotDetermined,,,,,,,,Undifferentiated,Succineidae,Family,Mollusca,Gastropoda,Stylommatophora,Succineidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Syrphidae NotDetermined,,,,,,,,Adult,Syrphidae,Family,Arthropoda,Insecta,Diptera,Syrphidae,,,,,,,,,,,,,,,,
,,,,,,,,,,Tabanidae,Tabanidae Larvae,,,,,,,,Larva,Tabanidae,Family,Arthropoda,Insecta,Diptera,Tabanidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Tabanidae NotDetermined,,,,,,,,Larva,Tabanidae,Family,Arthropoda,Insecta,Diptera,Tabanidae,,,,,,,,,,,,,,,,
